"";"distrito";"tipo_accidente";"estado_meteorologico";"tipo_vehiculo";"tipo_persona";"rango_edad";"sexo";"positiva_alcohol";"positiva_droga";"grado_lesividad";"categoria_lesividad";"mes";"partes_dia";"coordenada_x_utm";"coordenada_y_utm"
"6856";"CENTRO";"Colisión lateral";"Despejado";"Turismo";"Conductor";"De 55 a 59 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde";441270,54;4475245,74
"6859";"SALAMANCA";"Colisión fronto-lateral";"Despejado";"Motocicleta > 125cc";"Conductor";"De 45 a 49 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Tarde";443242,39;4474955,82
"6860";"SALAMANCA";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 45 a 49 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde";443242,39;4474955,82
"6866";"LATINA";"Alcance";"Despejado";"Turismo";"Conductor";"De 30 a 34 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Tarde";437547,45;4473322,41
"6867";"LATINA";"Alcance";"Despejado";"Turismo";"Pasajero";"De 21 a 24 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Tarde";437547,45;4473322,41
"6868";"RETIRO";"Alcance";"Despejado";"Turismo";"Conductor";"De 50 a 54 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Noche";441401,61;4473342,7
"6869";"RETIRO";"Alcance";"Despejado";"Turismo";"Conductor";"De 50 a 54 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche";441401,61;4473342,7
"6875";"TETUÁN";"Caída";"Despejado";"Autobús";"Conductor";"De 30 a 34 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche";439720,13;4478105,35
"6876";"TETUÁN";"Caída";"Despejado";"Autobús";"Pasajero";"De 70 a 74 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria inmediata en centro de salud o mutua";"February";"Noche";439720,13;4478105,35
"6877";"TETUÁN";"Caída";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche";439720,13;4478105,35
"6878";"RETIRO";"Alcance";"Despejado";"Motocicleta > 125cc";"Conductor";"De 60 a 64 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria inmediata en centro de salud o mutua";"February";"Tarde";443191,97;4472206,28
"6879";"RETIRO";"Alcance";"Despejado";"Turismo";"Conductor";"De 45 a 49 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde";443191,97;4472206,28
"6886";"FUENCARRAL-EL PARDO";"Colisión fronto-lateral";"Despejado";"Motocicleta hasta 125cc";"Conductor";"De 30 a 34 años";"Hombre";"N";"No realizado";"Leve";"Asistencia en urgencias sin posterior ingreso";"February";"Noche";439629;4480248,95
"6887";"FUENCARRAL-EL PARDO";"Colisión fronto-lateral";"Despejado";"Motocicleta hasta 125cc";"Pasajero";"De 30 a 34 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche";439629;4480248,95
"6888";"FUENCARRAL-EL PARDO";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche";439629;4480248,95
"6889";"FUENCARRAL-EL PARDO";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 25 a 29 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche";439629;4480248,95
"6890";"HORTALEZA";"Choque contra obstáculo fijo";"Despejado";"Turismo";"Conductor";"De 45 a 49 años";"Hombre";"S";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"February";"Noche";445094,58;4477970,23
"6903";"MONCLOA-ARAVACA";"Alcance";"Despejado";"Motocicleta > 125cc";"Conductor";"De 35 a 39 años";"Hombre";"N";"No realizado";"Leve";"Asistencia en urgencias sin posterior ingreso";"February";"Madrugada";439275,21;4474682,5
"6904";"MONCLOA-ARAVACA";"Alcance";"Despejado";"Turismo";"Conductor";"De 55 a 59 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Madrugada";439275,21;4474682,5
"6905";"MONCLOA-ARAVACA";"Alcance";"Despejado";"Turismo";"Pasajero";"De 30 a 34 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Madrugada";439275,21;4474682,5
"6908";"MONCLOA-ARAVACA";"Alcance";"Despejado";"Turismo";"Conductor";"De 35 a 39 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde";438928,35;4478869,42
"6909";"MONCLOA-ARAVACA";"Alcance";"Despejado";"Turismo";"Conductor";"De 35 a 39 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde";438928,35;4478869,42
"6913";"SALAMANCA";"Alcance";"Despejado";"Turismo";"Conductor";"De 30 a 34 años";"Hombre";"S";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Madrugada";443242,39;4474955,82
"6914";"SALAMANCA";"Alcance";"Despejado";"Turismo";"Conductor";"De 50 a 54 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Madrugada";443242,39;4474955,82
"6915";"PUENTE DE VALLECAS";"Alcance";"Despejado";"Todo terreno";"Conductor";"De 55 a 59 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"February";"Mañana";442071,11;4469562,52
"6916";"PUENTE DE VALLECAS";"Alcance";"Despejado";"Turismo";"Conductor";"De 40 a 44 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"February";"Mañana";442071,11;4469562,52
"6917";"CHAMBERÍ";"Colisión lateral";"Despejado";"Motocicleta hasta 125cc";"Conductor";"De 55 a 59 años";"Hombre";"N";"No realizado";"Leve";"Asistencia en urgencias sin posterior ingreso";"February";"Tarde";440181,23;4475696,24
"6918";"CHAMBERÍ";"Colisión lateral";"Despejado";"Turismo";"Conductor";"De 35 a 39 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde";440181,23;4475696,24
"6920";"CENTRO";"Colisión lateral";"Despejado";"Motocicleta hasta 125cc";"Conductor";"De 45 a 49 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Noche";441123,22;4474488,42
"6921";"CENTRO";"Colisión lateral";"Despejado";"Turismo";"Conductor";"De 45 a 49 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche";441123,22;4474488,42
"6922";"CHAMBERÍ";"Alcance";"Despejado";"Motocicleta > 125cc";"Conductor";"De 35 a 39 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Mañana";441431,65;4475392,35
"6923";"CHAMBERÍ";"Alcance";"Despejado";"Motocicleta hasta 125cc";"Conductor";"De 30 a 34 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Mañana";441431,65;4475392,35
"6924";"MONCLOA-ARAVACA";"Caída";"Despejado";"Motocicleta > 125cc";"Conductor";"De 40 a 44 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"February";"Mañana";437159,06;4478124,98
"6925";"MONCLOA-ARAVACA";"Caída";"Despejado";"Turismo";"Conductor";"De 40 a 44 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Mañana";437159,06;4478124,98
"6926";"CHAMBERÍ";"Caída";"Despejado";"Motocicleta hasta 125cc";"Conductor";"De 65 a 69 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"February";"Mañana";440741,69;4475940,62
"6927";"CHAMBERÍ";"Colisión fronto-lateral";"Despejado";"Motocicleta hasta 125cc";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Tarde";439564,16;4476720,61
"6928";"CHAMBERÍ";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 55 a 59 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde";439564,16;4476720,61
"6929";"CHAMBERÍ";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 25 a 29 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde";439564,16;4476720,61
"6930";"CHAMBERÍ";"Colisión fronto-lateral";"Despejado";"Camión rígido";"Conductor";"De 50 a 54 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Mañana";441054,02;4476612,96
"6931";"CHAMBERÍ";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 21 a 24 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Mañana";441054,02;4476612,96
"6932";"VICÁLVARO";"Caída";"Despejado";"Autobús";"Conductor";"De 50 a 54 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Mañana";449339,83;4472614,07
"6933";"VICÁLVARO";"Caída";"Despejado";"Autobús";"Pasajero";"De 30 a 34 años";"Mujer";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"February";"Mañana";449339,83;4472614,07
"6938";"BARAJAS";"Choque contra obstáculo fijo";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Mañana";448082,9;4478956,1
"6941";"LATINA";"Colisión fronto-lateral";"Despejado";"Motocicleta > 125cc";"Conductor";"De 40 a 44 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Tarde";436212,53;4471257,66
"6942";"LATINA";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 35 a 39 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde";436212,53;4471257,66
"6943";"ARGANZUELA";"Colisión fronto-lateral";"Despejado";"Bicicleta";"Conductor";"De 40 a 44 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche";440451,55;4472877,65
"6945";"CHAMARTÍN";"Colisión lateral";"Despejado";"Motocicleta > 125cc";"Conductor";"De 50 a 54 años";"Hombre";"N";"No realizado";"Grave";"Ingreso superior a 24 horas";"February";"Tarde";442014,07;4477241,97
"6946";"CHAMARTÍN";"Colisión lateral";"Despejado";"Turismo";"Conductor";"De 45 a 49 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde";442014,07;4477241,97
"6947";"CHAMARTÍN";"Colisión lateral";"Despejado";"Turismo";"Pasajero";"De 6  a  9 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde";442014,07;4477241,97
"6948";"USERA";"Atropello a persona";"Despejado";"Turismo";"Conductor";"Más de 74 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Mañana";439870,98;4471049,28
"6949";"USERA";"Atropello a persona";"Despejado";"Turismo";"Peatón";"De 70 a 74 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria inmediata en centro de salud o mutua";"February";"Mañana";439870,98;4471049,28
"6950";"SALAMANCA";"Colisión fronto-lateral";"Despejado";"Motocicleta > 125cc";"Conductor";"De 30 a 34 años";"Hombre";"N";"No realizado";"Leve";"Asistencia ambulatoria con posterioridad";"February";"Tarde";441408,65;4476587,4
"6951";"SALAMANCA";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde";441408,65;4476587,4
"6952";"MORATALAZ";"Colisión fronto-lateral";"Despejado";"Motocicleta hasta 125cc";"Conductor";"De 30 a 34 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Tarde";444565,76;4473827,17
"6953";"MORATALAZ";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 45 a 49 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde";444565,76;4473827,17
"6956";"RETIRO";"Colisión fronto-lateral";"Despejado";"Bicicleta";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde";442436,79;4474391,61
"6957";"RETIRO";"Colisión fronto-lateral";"Despejado";"Motocicleta hasta 125cc";"Conductor";"De 50 a 54 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde";442436,79;4474391,61
"6963";"CIUDAD LINEAL";"Alcance";"Despejado";"Motocicleta hasta 125cc";"Conductor";"De 55 a 59 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde";444278,14;4474845,1
"6964";"CIUDAD LINEAL";"Alcance";"Despejado";"Turismo";"Conductor";"De 50 a 54 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde";444278,14;4474845,1
"6967";"CHAMARTÍN";"Colisión fronto-lateral";"Despejado";"Motocicleta > 125cc";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"February";"Tarde";442085,61;4477074,64
"6968";"CHAMARTÍN";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 35 a 39 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde";442085,61;4477074,64
"6969";"CHAMARTÍN";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 10 a 14 años";"Hombre";"N";"No realizado";"Leve";"Asistencia en urgencias sin posterior ingreso";"February";"Tarde";442085,61;4477074,64
"6970";"CHAMARTÍN";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 6  a  9 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde";442085,61;4477074,64
"6976";"MORATALAZ";"Colisión lateral";"Despejado";"Turismo";"Conductor";"De 21 a 24 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Mañana";444738,06;4472947,75
"6977";"MORATALAZ";"Colisión lateral";"Despejado";"Turismo";"Conductor";"De 30 a 34 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Mañana";444738,06;4472947,75
"6978";"MORATALAZ";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Tarde";445042,38;4473369,86
"6979";"MORATALAZ";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 50 a 54 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde";445042,38;4473369,86
"6984";"TETUÁN";"Caída";"Despejado";"Ciclomotor";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"February";"Noche";439790,45;4478778,78
"6987";"PUENTE DE VALLECAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Grave";"Ingreso superior a 24 horas";"February";"Noche";443066,66;4471156,64
"6988";"PUENTE DE VALLECAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 35 a 39 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"February";"Noche";443066,66;4471156,64
"6989";"PUENTE DE VALLECAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 30 a 34 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"February";"Noche";443066,66;4471156,64
"6991";"LATINA";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 18 a 20 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche";435330,84;4470790,44
"6992";"LATINA";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 30 a 34 años";"Hombre";"S";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche";435330,84;4470790,44
"6993";"LATINA";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 18 a 20 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche";435330,84;4470790,44
"6994";"LATINA";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 18 a 20 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Noche";435330,84;4470790,44
"6995";"LATINA";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"Menor de 5 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Noche";435330,84;4470790,44
"6996";"MONCLOA-ARAVACA";"Atropello a persona";"Despejado";"Ciclomotor";"Conductor";"De 21 a 24 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Madrugada";438774,52;4474784,23
"6997";"MONCLOA-ARAVACA";"Atropello a persona";"Despejado";"Ciclomotor";"Peatón";"De 55 a 59 años";"Hombre";"N";"No realizado";"Grave";"Ingreso superior a 24 horas";"February";"Madrugada";438774,52;4474784,23
"6998";"CENTRO";"Atropello a persona";"Despejado";"Ciclomotor";"Conductor";"De 25 a 29 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Madrugada";440449,38;4475488,85
"6999";"CENTRO";"Atropello a persona";"Despejado";"Ciclomotor";"Peatón";"De 40 a 44 años";"Hombre";"N";"No realizado";"Grave";"Ingreso superior a 24 horas";"February";"Madrugada";440449,38;4475488,85
"7002";"CARABANCHEL";"Choque contra obstáculo fijo";"Despejado";"Turismo";"Conductor";"De 18 a 20 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Madrugada";438205,03;4469484,78
"7003";"SALAMANCA";"Colisión fronto-lateral";"Despejado";"Motocicleta hasta 125cc";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Leve";"Asistencia ambulatoria con posterioridad";"February";"Madrugada";442388,56;4476133,48
"7004";"SALAMANCA";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"Más de 74 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Madrugada";442388,56;4476133,48
"7007";"CARABANCHEL";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 60 a 64 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Madrugada";438262,44;4471835,47
"7008";"CARABANCHEL";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"Más de 74 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Madrugada";438262,44;4471835,47
"7020";"CHAMBERÍ";"Choque contra obstáculo fijo";"Despejado";"Turismo";"Conductor";"De 21 a 24 años";"Hombre";"S";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Mañana";441024,03;4477219,88
"7021";"CHAMBERÍ";"Choque contra obstáculo fijo";"Despejado";"Turismo";"Pasajero";"De 18 a 20 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Mañana";441024,03;4477219,88
"7022";"BARAJAS";"Choque contra obstáculo fijo";"Despejado";"Turismo";"Conductor";"De 21 a 24 años";"Hombre";"N";"1";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Mañana";450726,78;4478155,85
"7023";"CHAMARTÍN";"Caída";"Despejado";"Motocicleta > 125cc";"Conductor";"De 35 a 39 años";"Hombre";"S";"No realizado";"Grave";"Ingreso superior a 24 horas";"February";"Mañana";442016,41;4480809,79
"7024";"LATINA";"Atropello a persona";"Desconocido";"Turismo";"Conductor";"De 65 a 69 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde";434077,85;4470351,37
"7025";"LATINA";"Atropello a persona";"Desconocido";"Turismo";"Peatón";"De 6  a  9 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Tarde";434077,85;4470351,37
"7026";"BARAJAS";"Atropello a persona";"Despejado";"Turismo";"Conductor";"De 65 a 69 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Mañana";450534,83;4480253,58
"7027";"BARAJAS";"Atropello a persona";"Despejado";"Turismo";"Peatón";"De 21 a 24 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Mañana";450534,83;4480253,58
"7032";"TETUÁN";"Atropello a persona";"Despejado";"Turismo";"Conductor";"De 30 a 34 años";"Hombre";"N";"1";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde";440548,87;4478783,54
"7033";"TETUÁN";"Atropello a persona";"Despejado";"Turismo";"Peatón";"Más de 74 años";"Mujer";"N";"No realizado";"Grave";"Ingreso superior a 24 horas";"February";"Tarde";440548,87;4478783,54
"7040";"RETIRO";"Choque contra obstáculo fijo";"Despejado";"Turismo";"Conductor";"De 50 a 54 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria inmediata en centro de salud o mutua";"February";"Mañana";441401,61;4473342,7
"7041";"RETIRO";"Choque contra obstáculo fijo";"Despejado";"Turismo";"Pasajero";"De 50 a 54 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Mañana";441401,61;4473342,7
"7042";"RETIRO";"Choque contra obstáculo fijo";"Despejado";"Turismo";"Pasajero";"De 60 a 64 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria inmediata en centro de salud o mutua";"February";"Mañana";441401,61;4473342,7
"7046";"FUENCARRAL-EL PARDO";"Alcance";"Desconocido";"Turismo";"Conductor";"De 45 a 49 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde";440127,82;4481131,27
"7047";"FUENCARRAL-EL PARDO";"Alcance";"Desconocido";"Turismo";"Conductor";"De 70 a 74 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde";440127,82;4481131,27
"7048";"SAN BLAS-CANILLEJAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 55 a 59 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Tarde";446545,94;4475797,84
"7049";"SAN BLAS-CANILLEJAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 65 a 69 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde";446545,94;4475797,84
"7050";"SAN BLAS-CANILLEJAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 21 a 24 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde";446545,94;4475797,84
"7051";"SAN BLAS-CANILLEJAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 60 a 64 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde";446545,94;4475797,84
"7052";"USERA";"Caída";"Despejado";"Motocicleta hasta 125cc";"Conductor";"De 35 a 39 años";"Hombre";"N";"No realizado";"Mortal";"Fallecido 24 horas";"February";"Tarde";440767,3;4468533,09
"7053";"SALAMANCA";"Caída";"Despejado";"Ciclomotor";"Conductor";"De 21 a 24 años";"Hombre";"N";"No realizado";"Leve";"Asistencia en urgencias sin posterior ingreso";"February";"Tarde";443422,72;4475291,63
"7054";"CHAMARTÍN";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 55 a 59 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Mañana";442322,76;4481502,39
"7055";"CHAMARTÍN";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 55 a 59 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria inmediata en centro de salud o mutua";"February";"Mañana";442322,76;4481502,39
"7060";"MORATALAZ";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 18 a 20 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde";446418,92;4473121,72
"7061";"MORATALAZ";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 21 a 24 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde";446418,92;4473121,72
"7067";"RETIRO";"Atropello a persona";"Despejado";"Bicicleta";"Conductor";"De 30 a 34 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde";443254,31;4474518,26
"7068";"RETIRO";"Atropello a persona";"Despejado";"Bicicleta";"Peatón";"Más de 74 años";"Mujer";"N";"No realizado";"Leve";"Asistencia en urgencias sin posterior ingreso";"February";"Tarde";443254,31;4474518,26
"7069";"VILLAVERDE";"Alcance";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde";441147,13;4465546,84
"7070";"VILLAVERDE";"Alcance";"Despejado";"Turismo";"Conductor";"De 35 a 39 años";"Hombre";"S";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde";441147,13;4465546,84
"7071";"VILLAVERDE";"Alcance";"Despejado";"Turismo";"Pasajero";"De 21 a 24 años";"Mujer";"N";"No realizado";"Leve";"Asistencia en urgencias sin posterior ingreso";"February";"Tarde";441147,13;4465546,84
"7072";"FUENCARRAL-EL PARDO";"Colisión fronto-lateral";"Despejado";"Bicicleta";"Conductor";"De 45 a 49 años";"Mujer";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"February";"Tarde";433768,42;4487154,55
"7073";"FUENCARRAL-EL PARDO";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 40 a 44 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde";433768,42;4487154,55
"7074";"FUENCARRAL-EL PARDO";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 10 a 14 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde";433768,42;4487154,55
"7075";"FUENCARRAL-EL PARDO";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 40 a 44 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde";433768,42;4487154,55
"7076";"FUENCARRAL-EL PARDO";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 6  a  9 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde";433768,42;4487154,55
