"";"distrito";"tipo_accidente";"estado_meteorologico";"tipo_vehiculo";"tipo_persona";"rango_edad";"sexo";"positiva_alcohol";"positiva_droga";"grado_lesividad";"categoria_lesividad";"mes";"partes_dia"
"4817";"FUENCARRAL-EL PARDO";"Caída";"Despejado";"Motocicleta > 125cc";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche"
"4818";"CHAMBERÍ";"Atropello a persona";"Despejado";"Turismo";"Conductor";"De 45 a 49 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde"
"4819";"CHAMBERÍ";"Atropello a persona";"Despejado";"Turismo";"Peatón";"Más de 74 años";"Mujer";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"February";"Tarde"
"4820";"MONCLOA-ARAVACA";"Caída";"Despejado";"Motocicleta hasta 125cc";"Conductor";"De 30 a 34 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"February";"Noche"
"4822";"USERA";"Colisión fronto-lateral";"Desconocido";"Turismo";"Conductor";"De 50 a 54 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde"
"4823";"USERA";"Colisión fronto-lateral";"Desconocido";"Turismo";"Conductor";"De 50 a 54 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde"
"4826";"CARABANCHEL";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 30 a 34 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche"
"4827";"CARABANCHEL";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 55 a 59 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche"
"4828";"ARGANZUELA";"Alcance";"Despejado";"Motocicleta hasta 125cc";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Leve";"Asistencia en urgencias sin posterior ingreso";"February";"Noche"
"4829";"ARGANZUELA";"Alcance";"Despejado";"Turismo";"Conductor";"De 30 a 34 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche"
"4833";"MORATALAZ";"Atropello a persona";"Despejado";"Motocicleta > 125cc";"Conductor";"De 21 a 24 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche"
"4834";"MORATALAZ";"Atropello a persona";"Despejado";"Motocicleta > 125cc";"Peatón";"De 65 a 69 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Noche"
"4835";"PUENTE DE VALLECAS";"Colisión fronto-lateral";"Despejado";"Furgoneta";"Conductor";"De 40 a 44 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde"
"4836";"PUENTE DE VALLECAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 30 a 34 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde"
"4837";"PUENTE DE VALLECAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 30 a 34 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Tarde"
"4838";"PUENTE DE VALLECAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"Menor de 5 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde"
"4847";"CHAMARTÍN";"Colisión fronto-lateral";"Despejado";"Motocicleta > 125cc";"Conductor";"De 35 a 39 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Noche"
"4848";"CHAMARTÍN";"Colisión fronto-lateral";"Despejado";"Motocicleta > 125cc";"Pasajero";"De 35 a 39 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche"
"4849";"CHAMARTÍN";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 55 a 59 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche"
"4850";"CHAMARTÍN";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 60 a 64 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche"
"4851";"USERA";"Atropello a persona";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche"
"4852";"USERA";"Atropello a persona";"Despejado";"Turismo";"Peatón";"De 25 a 29 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Noche"
"4853";"TETUÁN";"Colisión fronto-lateral";"Despejado";"Furgoneta";"Conductor";"De 35 a 39 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde"
"4854";"TETUÁN";"Colisión fronto-lateral";"Despejado";"Motocicleta hasta 125cc";"Conductor";"De 18 a 20 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria inmediata en centro de salud o mutua";"February";"Tarde"
"4855";"TETUÁN";"Colisión fronto-lateral";"Despejado";"Motocicleta > 125cc";"Conductor";"De 45 a 49 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Tarde"
"4856";"TETUÁN";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 21 a 24 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde"
"4859";"RETIRO";"Atropello a persona";"Despejado";"Turismo";"Conductor";"De 65 a 69 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde"
"4860";"RETIRO";"Atropello a persona";"Despejado";"Turismo";"Pasajero";"Más de 74 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde"
"4861";"RETIRO";"Atropello a persona";"Despejado";"Turismo";"Peatón";"De 30 a 34 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria inmediata en centro de salud o mutua";"February";"Tarde"
"4862";"TETUÁN";"Alcance";"Despejado";"Ciclomotor";"Conductor";"De 55 a 59 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"January";"Noche"
"4863";"TETUÁN";"Alcance";"Despejado";"Turismo";"Conductor";"De 45 a 49 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"January";"Noche"
"4864";"CHAMARTÍN";"Colisión fronto-lateral";"Despejado";"Motocicleta hasta 125cc";"Conductor";"De 30 a 34 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria inmediata en centro de salud o mutua";"February";"Noche"
"4865";"CHAMARTÍN";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 30 a 34 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche"
"4866";"CARABANCHEL";"Colisión fronto-lateral";"Despejado";"Motocicleta > 125cc";"Conductor";"De 35 a 39 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Noche"
"4867";"CARABANCHEL";"Colisión fronto-lateral";"Despejado";"Motocicleta > 125cc";"Pasajero";"De 10 a 14 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Noche"
"4868";"CARABANCHEL";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche"
"4869";"CIUDAD LINEAL";"Caída";"Despejado";"Motocicleta hasta 125cc";"Conductor";"De 35 a 39 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Noche"
"4870";"CIUDAD LINEAL";"Caída";"Despejado";"Motocicleta hasta 125cc";"Pasajero";"De 35 a 39 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche"
"4876";"CHAMBERÍ";"Colisión fronto-lateral";"Despejado";"Ciclomotor";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Noche"
"4877";"CHAMBERÍ";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 35 a 39 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche"
"4878";"CHAMBERÍ";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 35 a 39 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche"
"4881";"FUENCARRAL-EL PARDO";"Caída";"Despejado";"Motocicleta hasta 125cc";"Conductor";"De 45 a 49 años";"Hombre";"N";"No realizado";"Leve";"Asistencia en urgencias sin posterior ingreso";"February";"Noche"
"4882";"FUENCARRAL-EL PARDO";"Caída";"Despejado";"Turismo";"Conductor";"De 30 a 34 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche"
"4890";"PUENTE DE VALLECAS";"Colisión fronto-lateral";"Despejado";"Furgoneta";"Conductor";"De 45 a 49 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Madrugada"
"4891";"PUENTE DE VALLECAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Conductor";"De 21 a 24 años";"Hombre";"S";"1";"Leve";"Asistencia ambulatoria con posterioridad";"February";"Madrugada"
"4892";"PUENTE DE VALLECAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 18 a 20 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"February";"Madrugada"
"4893";"PUENTE DE VALLECAS";"Colisión fronto-lateral";"Despejado";"Turismo";"Pasajero";"De 25 a 29 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"February";"Madrugada"
"4894";"CENTRO";"Caída";"Despejado";"Ciclomotor";"Conductor";"De 50 a 54 años";"Hombre";"S";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Madrugada"
"4896";"SALAMANCA";"Choque contra obstáculo fijo";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Hombre";"S";"1";"Leve";"Ingreso inferior o igual a 24 horas";"February";"Mañana"
"4897";"SALAMANCA";"Choque contra obstáculo fijo";"Despejado";"Turismo";"Pasajero";"De 21 a 24 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Mañana"
"4898";"SALAMANCA";"Choque contra obstáculo fijo";"Despejado";"Turismo";"Pasajero";"De 25 a 29 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Mañana"
"4899";"VILLAVERDE";"Alcance";"Despejado";"Maquinaria de obras";"Conductor";"De 55 a 59 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde"
"4900";"VILLAVERDE";"Alcance";"Despejado";"Turismo";"Conductor";"De 40 a 44 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Tarde"
"4910";"SALAMANCA";"Choque contra obstáculo fijo";"Nublado";"Turismo";"Conductor";"De 25 a 29 años";"Hombre";"S";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Mañana"
"4911";"VILLAVERDE";"Colisión fronto-lateral";"Desconocido";"Turismo";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Mañana"
"4912";"VILLAVERDE";"Colisión fronto-lateral";"Desconocido";"Turismo";"Conductor";"De 50 a 54 años";"Hombre";"S";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Mañana"
"4913";"CHAMARTÍN";"Alcance";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Mañana"
"4914";"CHAMARTÍN";"Alcance";"Despejado";"Turismo";"Conductor";"De 35 a 39 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Mañana"
"4915";"CHAMARTÍN";"Alcance";"Despejado";"Turismo";"Conductor";"De 65 a 69 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Mañana"
"4922";"ARGANZUELA";"Alcance";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde"
"4923";"ARGANZUELA";"Alcance";"Despejado";"Turismo";"Conductor";"De 30 a 34 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Tarde"
"4924";"ARGANZUELA";"Alcance";"Despejado";"Turismo";"Conductor";"De 35 a 39 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde"
"4925";"ARGANZUELA";"Alcance";"Despejado";"Turismo";"Conductor";"De 50 a 54 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde"
"4926";"ARGANZUELA";"Alcance";"Despejado";"Turismo";"Pasajero";"De 10 a 14 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Tarde"
"4927";"ARGANZUELA";"Alcance";"Despejado";"Turismo";"Pasajero";"De 30 a 34 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Tarde"
"4928";"ARGANZUELA";"Alcance";"Despejado";"Turismo";"Pasajero";"De 40 a 44 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria inmediata en centro de salud o mutua";"February";"Tarde"
"4929";"ARGANZUELA";"Alcance";"Despejado";"Turismo";"Pasajero";"De 50 a 54 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Tarde"
"4931";"CARABANCHEL";"Atropello a persona";"Despejado";"Turismo";"Peatón";"De 40 a 44 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Mañana"
"4932";"HORTALEZA";"Atropello a persona";"Despejado";"Turismo";"Conductor";"De 40 a 44 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Mañana"
"4933";"HORTALEZA";"Atropello a persona";"Despejado";"Turismo";"Peatón";"De 30 a 34 años";"Mujer";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"February";"Mañana"
"4934";"CHAMBERÍ";"Alcance";"Despejado";"Ciclo";"Conductor";"De 45 a 49 años";"Hombre";"N";"No realizado";"Leve";"Asistencia en urgencias sin posterior ingreso";"February";"Tarde"
"4935";"CHAMBERÍ";"Alcance";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde"
"4938";"TETUÁN";"Alcance";"Despejado";"Motocicleta hasta 125cc";"Conductor";"De 30 a 34 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Mañana"
"4939";"TETUÁN";"Alcance";"Despejado";"Turismo";"Conductor";"De 45 a 49 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Mañana"
"4942";"RETIRO";"Atropello a persona";"Despejado";"Turismo";"Conductor";"Más de 74 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Mañana"
"4943";"RETIRO";"Atropello a persona";"Despejado";"Turismo";"Peatón";"De 65 a 69 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Mañana"
"4945";"TETUÁN";"Colisión fronto-lateral";"Lluvia débil";"Turismo";"Conductor";"De 35 a 39 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde"
"4946";"RETIRO";"Colisión fronto-lateral";"Nublado";"VMU eléctrico";"Conductor";"De 30 a 34 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde"
"4947";"RETIRO";"Colisión fronto-lateral";"Nublado";"VMU eléctrico";"Conductor";"De 40 a 44 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Tarde"
"4948";"RETIRO";"Colisión múltiple";"Nublado";"Turismo";"Conductor";"De 35 a 39 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche"
"4949";"RETIRO";"Colisión múltiple";"Nublado";"Turismo";"Conductor";"De 45 a 49 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche"
"4950";"RETIRO";"Colisión múltiple";"Nublado";"Turismo";"Conductor";"De 50 a 54 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Noche"
"4951";"RETIRO";"Colisión múltiple";"Nublado";"Turismo";"Pasajero";"De 10 a 14 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Noche"
"4952";"RETIRO";"Colisión múltiple";"Nublado";"Turismo";"Pasajero";"De 25 a 29 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Noche"
"4953";"RETIRO";"Colisión múltiple";"Nublado";"Turismo";"Pasajero";"De 30 a 34 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche"
"4954";"SALAMANCA";"Colisión fronto-lateral";"Despejado";"Furgoneta";"Conductor";"De 21 a 24 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Noche"
"4955";"SALAMANCA";"Colisión fronto-lateral";"Despejado";"Otros vehículos con motor";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Noche"
"4956";"TETUÁN";"Colisión fronto-lateral";"Despejado";"Ciclomotor";"Conductor";"De 21 a 24 años";"Hombre";"N";"No realizado";"Leve";"Asistencia ambulatoria con posterioridad";"February";"Tarde"
"4957";"TETUÁN";"Colisión fronto-lateral";"Despejado";"Motocicleta hasta 125cc";"Conductor";"De 45 a 49 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde"
"4958";"MORATALAZ";"Alcance";"Despejado";"Motocicleta hasta 125cc";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Noche"
"4959";"MORATALAZ";"Alcance";"Despejado";"Motocicleta hasta 125cc";"Pasajero";"De 30 a 34 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Noche"
"4960";"MORATALAZ";"Alcance";"Despejado";"Turismo";"Conductor";"De 21 a 24 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche"
"4961";"MORATALAZ";"Alcance";"Despejado";"Turismo";"Pasajero";"De 25 a 29 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche"
"4962";"PUENTE DE VALLECAS";"Alcance";"Lluvia débil";"Motocicleta > 125cc";"Conductor";"De 40 a 44 años";"Hombre";"N";"No realizado";"Leve";"Asistencia en urgencias sin posterior ingreso";"February";"Tarde"
"4963";"PUENTE DE VALLECAS";"Alcance";"Lluvia débil";"Turismo";"Conductor";"De 45 a 49 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde"
"4964";"RETIRO";"Colisión múltiple";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde"
"4965";"RETIRO";"Colisión múltiple";"Despejado";"Turismo";"Conductor";"De 30 a 34 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde"
"4966";"RETIRO";"Colisión múltiple";"Despejado";"Turismo";"Conductor";"De 30 a 34 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde"
"4967";"RETIRO";"Colisión múltiple";"Despejado";"Turismo";"Conductor";"De 50 a 54 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde"
"4968";"RETIRO";"Colisión múltiple";"Despejado";"Turismo";"Pasajero";"De 35 a 39 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Tarde"
"4969";"RETIRO";"Colisión múltiple";"Despejado";"Turismo";"Pasajero";"De 40 a 44 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Tarde"
"4970";"ARGANZUELA";"Caída";"Nublado";"Motocicleta > 125cc";"Conductor";"De 30 a 34 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Tarde"
"4974";"SALAMANCA";"Otro";"Despejado";"Motocicleta > 125cc";"Conductor";"De 30 a 34 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Tarde"
"4976";"LATINA";"Colisión fronto-lateral";"Nublado";"Motocicleta hasta 125cc";"Conductor";"De 30 a 34 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Noche"
"4977";"LATINA";"Colisión fronto-lateral";"Nublado";"Turismo";"Conductor";"De 65 a 69 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche"
"4985";"PUENTE DE VALLECAS";"Solo salida de la vía";"Despejado";"Turismo";"Conductor";"De 40 a 44 años";"Hombre";"S";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche"
"4986";"PUENTE DE VALLECAS";"Solo salida de la vía";"Despejado";"Turismo";"Pasajero";"De 40 a 44 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche"
"4988";"SAN BLAS-CANILLEJAS";"Atropello a persona";"Despejado";"Turismo";"Peatón";"De 21 a 24 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Noche"
"4989";"RETIRO";"Caída";"Despejado";"VMU eléctrico";"Conductor";"De 18 a 20 años";"Mujer";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Noche"
"4990";"CHAMARTÍN";"Alcance";"Despejado";"Autobús";"Conductor";"De 45 a 49 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche"
"4991";"CHAMARTÍN";"Alcance";"Despejado";"Autobús";"Pasajero";"De 30 a 34 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche"
"4992";"CHAMARTÍN";"Alcance";"Despejado";"Autobús";"Pasajero";"De 60 a 64 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche"
"4993";"CHAMARTÍN";"Alcance";"Despejado";"Autobús";"Pasajero";"De 60 a 64 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Noche"
"4994";"CHAMARTÍN";"Alcance";"Despejado";"Autobús";"Pasajero";"De 65 a 69 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche"
"4995";"CHAMARTÍN";"Alcance";"Despejado";"Turismo";"Conductor";"De 21 a 24 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche"
"4996";"CHAMARTÍN";"Alcance";"Despejado";"Turismo";"Pasajero";"De 21 a 24 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche"
"4997";"CIUDAD LINEAL";"Caída";"Despejado";"Motocicleta hasta 125cc";"Conductor";"De 50 a 54 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria inmediata en centro de salud o mutua";"February";"Tarde"
"5001";"MORATALAZ";"Alcance";"Nublado";"Motocicleta hasta 125cc";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Noche"
"5002";"MORATALAZ";"Alcance";"Nublado";"Turismo";"Conductor";"De 60 a 64 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche"
"5003";"CARABANCHEL";"Alcance";"Despejado";"Furgoneta";"Conductor";"De 50 a 54 años";"Hombre";"S";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche"
"5004";"CARABANCHEL";"Alcance";"Despejado";"Turismo";"Conductor";"De 40 a 44 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Noche"
"5005";"CARABANCHEL";"Alcance";"Despejado";"Turismo";"Pasajero";"De 55 a 59 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Noche"
"5016";"CARABANCHEL";"Atropello a persona";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche"
"5017";"CARABANCHEL";"Atropello a persona";"Despejado";"Turismo";"Peatón";"De 18 a 20 años";"Mujer";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"February";"Noche"
"5018";"CARABANCHEL";"Colisión múltiple";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche"
"5019";"CARABANCHEL";"Colisión múltiple";"Despejado";"Turismo";"Conductor";"De 25 a 29 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche"
"5020";"CARABANCHEL";"Colisión múltiple";"Despejado";"Turismo";"Conductor";"De 55 a 59 años";"Hombre";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche"
"5021";"CARABANCHEL";"Colisión múltiple";"Despejado";"Turismo";"Pasajero";"De 18 a 20 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche"
"5022";"CARABANCHEL";"Colisión múltiple";"Despejado";"Turismo";"Pasajero";"De 18 a 20 años";"Mujer";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"February";"Noche"
"5023";"CARABANCHEL";"Colisión múltiple";"Despejado";"Turismo";"Pasajero";"De 21 a 24 años";"Mujer";"N";"No realizado";"Sin asistencia";"Sin asistencia sanitaria";"February";"Noche"
"5024";"CARABANCHEL";"Colisión múltiple";"Despejado";"Turismo";"Pasajero";"De 21 a 24 años";"Hombre";"N";"No realizado";"Leve";"Ingreso inferior o igual a 24 horas";"February";"Noche"
"5025";"CHAMBERÍ";"Caída";"Despejado";"VMU eléctrico";"Conductor";"De 30 a 34 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria inmediata en centro de salud o mutua";"February";"Madrugada"
"5026";"CENTRO";"Atropello a persona";"Despejado";"Bicicleta EPAC (pedaleo asistido)";"Conductor";"De 40 a 44 años";"Hombre";"N";"No realizado";"Leve";"Asistencia sanitaria sólo en el lugar del accidente";"February";"Madrugada"
